定_;日本_;英_;;;;
TVPTjsCharMustBeTwoOrFour;sizeof(tjs_char) は 2 か 4 でなければなりません。;sizeof(tjs_char) must be 2 or 4.;;;;
TVPMediaNameHadAlreadyBeenRegistered;"メディア名 \""%1\"" は既に登_されています";"Media name \""%1\"" had already been registered";;;;
TVPMediaNameIsNotRegistered;"メディア名 \""%1\"" は登_されていません";"Media name \""%1\"" is not registered";;;;
TVPInfoRebuildingAutoPath;(info) 自__索パステ_ブルを再__しています ...;(info) Rebuilding Auto Path Table ...;;;;
TVPInfoTotalFileFoundAndActivated;(info) Total %1 file(s) found, %2 file(s) activated. (%3ms);(info) Total %1 file(s) found, %2 file(s) activated. (%3ms);;;;
TVPErrorInRetrievingSystemOnActivateOnDeactivate;Error in retrieving System.onActivate/onDeactivate : %1;Error in retrieving System.onActivate/onDeactivate : %1;;;;
TVPTheHostIsNotA16BitUnicodeSystem;The host is not a 16-bit unicode system.;The host is not a 16-bit unicode system.;;;;
TVPInfoTryingToReadXp3VirtualFileSystemInformationFrom;(info) Trying to read XP3 virtual file system information from : %1;(info) Trying to read XP3 virtual file system information from : %1;;;;
TVPSpecifiedStorageHadBeenProtected;Specified storage had been protected!;Specified storage had been protected!;;;;
TVPInfoFailed;(info) 失_。;(info) Failed.;;;;
TVPInfoDoneWithContains;(info) Done. (contains %1 file(s), %2 segment(s));(info) Done. (contains %1 file(s), %2 segment(s));;;;
TVPSeparatorCRLF;\r\n\r\n\r\n==============================================================================\r\n==============================================================================\r\n;\r\n\r\n\r\n==============================================================================\r\n==============================================================================\r\n;;;;
TVPSeparatorCR;\n\n\n==============================================================================\n==============================================================================\n;\n\n\n==============================================================================\n==============================================================================\n;;;;
TVPDefaultFontName;ＭＳ Ｐゴシック;MS Sans Serif;;;;
TVPCannotOpenFontFile;Can't open font file '%1$s';Can't open font file '%1$s';;;;
TVPFontCannotBeUsed;フォント '%1$s' は使用できません;Font '%1$s' cannot be used;;;;
TVPFontRasterizeError;フォント ラスタライズ エラ_.;Font Rasterize error.;;;;
TVPBitFieldsNotSupported;BITFIELDS not supported.;BITFIELDS not supported.;;;;
TVPCompressedBmpNotSupported;Compressed BMP not supported.;Compressed BMP not supported.;;;;
TVPUnsupportedColorModeForPalettImage;Unsupported color mode for palettized image.;Unsupported color mode for palettized image.;;;;
TVPNotWindowsBmp;This is not a Windows BMP file or an OS/2 BMP file.;This is not a Windows BMP file or an OS/2 BMP file.;;;;
TVPUnsupportedHeaderVersion;Non-supported header version.;Non-supported header version.;;;;
TVPInfoTouching;(info) Touching ;(info) Touching ;;;;
TVPAbortedTimeOut; ... 中断 [タイムアウト]; ... aborted [timed out];;;;
TVPAbortedLimitByte; ... 中断 [バイトサイズ上限_超_]; ... aborted [limit bytes exceeded];;;;
TVPFaildGlyphForDrawGlyph;Faild glyph for DrawGlyph.;Faild glyph for DrawGlyph.;;;;
TVPLayerObjectIsNotProperlyConstructed;Panic! Layer object is not properly constructed. The constructor was not called??;Panic! Layer object is not properly constructed. The constructor was not called??;;;;
TVPUnknownUpdateType;不明な update タイプ;Unknown update type;;;;
TVPUnknownTransitionType;不明な transition タイプ;Unknown transition type;;;;
